Libellé Gare	Voyageurs	Commune	Département	coordonnees_geographiques
Mesnay-Arbois	N	Arbois	Jura	"46.911719041,5.79664699671"
Pont-d'Héry	N	Pont-d'Héry	Jura	"46.8790741214,5.88773538034"
St-Vit	O	St-Vit	Doubs	"47.1836475633,5.80899287259"
Dannemarie-Velesmes	O	Dannemarie-sur-Crète	Doubs	"47.2038732135,5.87377866915"
Baume-les-Dames	O	Baume-les-Dames	Doubs	"47.3540637651,6.35933170407"
Héricourt	O	Héricourt	Haute-Saône	"47.5729094004,6.76937906867"
Orchamps (Jura)	O	Orchamps	Jura	"47.1501979102,5.65907370905"
Ranchot	O	Ranchot	Jura	"47.1526560438,5.72474680984"
Belfort	O	Belfort	Territoire-de-Belfort	"47.6312714754,6.85475551846"
Morvillars	N	Morvillars	Territoire-de-Belfort	"47.5496586861,6.93547704197"
Besançon-Viotte	O	Besançon	Doubs	"47.2472018327,6.0215701193"
Lure	O	Lure	Haute-Saône	"47.6829734793,6.49257625348"
Dijon-Ville	O	Dijon	Côte-d'Or	"47.3230160581,5.02714255942"
St-Bonnet-en-Bresse	N	St-Bonnet-en-Bresse	Saône-et-Loire	"46.8694137689,5.1599559057"
Ste-Croix	N	Ste-Croix	Saône-et-Loire	"46.5776892233,5.25097521467"
Tavaux-Solvay	N	Tavaux	Jura	"47.0423635641,5.41549560161"
Chagny	O	Chagny	Saône-et-Loire	"46.9072494006,4.74932439942"
Seurre	O	Seurre	Côte-d'Or	"46.9963897141,5.15125733486"
Chalon-sur-Saône	O	Chalon-sur-Saône	Saône-et-Loire	"46.781625751,4.84261525403"
Chemin-Peseux	N	Longwy-sur-le-Doubs	Jura	"46.994757839,5.34442586752"
Parcey	N	Parcey	Jura	"47.0232062458,5.49576022298"
Souvans	N	Souvans	Jura	"47.0001283626,5.54249467794"
Mont-sous-Vaudrey	N	Mont-sous-Vaudrey	Jura	"46.9841641185,5.59684261237"
Poligny	O	Poligny	Jura	"46.8434030009,5.69903087674"
Arc-et-Senans	O	Arc-et-Senans	Doubs	"47.0302718235,5.77675649671"
Morre	O	Morre	Doubs	"47.2258221677,6.0675255272"
Mamirolle	O	Mamirolle	Doubs	"47.200180213,6.16229600237"
Avoudrey	O	Avoudrey	Doubs	"47.1298142562,6.43468122935"
La Rivière	O	La Rivière-Drugeon	Doubs	"46.8701104309,6.21333625811"
Oyonnax	O	Oyonnax	Ain	"46.2595530628,5.65314248818"
Bellignat	O	Bellignat	Ain	"46.2389394581,5.63050188025"
La Chaumusse-Fort-du-Plasne	O	La Chaumusse	Jura	"46.6050201487,5.96136316521"
St-Lothain	O	St-Lothain	Jura	"46.8231072293,5.64381019985"
Chalon-sur-Saône	O	Chalon-sur-Saône	Saône-et-Loire	"46.781625751,4.84261525403"
Vonnas	O	Vonnas	Ain	"46.2272484383,4.99181965991"
Pont-de-Veyle	O	Crottet	Ain	"46.2689147073,4.89089286118"
Mâcon-Ville	O	Mâcon	Saône-et-Loire	"46.3027590622,4.82454635373"
Cize-Bolozon	O	Bolozon	Ain	"46.2136612976,5.45374965371"
Les Échets	O	Miribel	Ain	"45.8744995362,4.91074526929"
Villars-les-Dombes	O	Villars-les-Dombes	Ain	"46.0042471278,5.02830832634"
Sathonay-Rillieux	O	Rillieux-la-Pape	Rhône	"45.8196971861,4.87534732158"
Culoz	O	Culoz	Ain	"45.8428555573,5.77881481874"
Pougny-Chancy	O	Pougny	Ain	"46.144777124,5.96121807409"
Ambérieu	O	Ambérieu-en-Bugey	Ain	"45.95382302,5.34238958202"
St-Rambert-en-Bugey	O	St-Rambert-en-Bugey	Ain	"45.9475252365,5.43924283662"
Tenay-Hauteville	O	Tenay	Ain	"45.9222956807,5.50096031631"
Virieu-le-Grand-Belley	O	Virieu-le-Grand	Ain	"45.8492419909,5.65472598063"
Genève-Voyageurs	O	Genève-Eaux-Vives	Étranger	"46.2117345378,6.14251825865"
Crépieux-la-Pape	O	Rillieux-la-Pape	Rhône	"45.8036777337,4.89257958596"
Lyon-St-Clair	N	Caluire-et-Cuire	Rhône	"45.7911269655,4.86211355972"
Thoiry	N	Thoiry	Ain	"46.2309515776,5.97994379331"
Romilly-sur-Seine	O	Romilly-sur-Seine	Aube	"48.5140165719,3.72858267999"
Maizières-la-Grande-Paroisse	N	Maizières-la-Grande-Paroisse	Aube	"48.5050242284,3.78600316992"
Rolampont	N	Rolampont	Haute-Marne	"47.9487926603,5.28296312471"
Culmont-Chalindrey	O	Chalindrey	Haute-Marne	"47.8096865382,5.44358851757"
Vitrey-Vernois	N	Vernois-sur-mance	Haute-Saône	"47.8324201705,5.78115254421"
Vesoul	O	Vesoul	Haute-Saône	"47.6175576357,6.15189225956"
Genevreuille	N	Genevreuille	Haute-Saône	"47.6784256589,6.38121296761"
Ronchamp	O	Ronchamp	Haute-Saône	"47.6991120212,6.62335891507"
Champagney	O	Champagney	Haute-Saône	"47.7031520138,6.70147889305"
Ballersdorf	O	Ballersdorf	Haut-Rhin	"47.620381292,7.15283388275"
Brunstatt	O	Brunstatt	Haut-Rhin	"47.7199601325,7.31445061829"
Paris-Est	O	Paris-10	Paris	"48.8773708732,2.35892610772"
Flamboin-Gouaix	N	Gouaix	Seine-et-Marne	"48.4725062805,3.29462254439"
Les Yvris-Noisy-le-Grand	O	Noisy-le-Grand	Seine-St-Denis	"48.8235593715,2.5790595811"
Pantin	O	Pantin	Seine-St-Denis	"48.8980677748,2.40024510438"
Trois-Chênes	O	Belfort	Territoire-de-Belfort	"47.6471958525,6.84670112922"
Val-de-Fontenay	O	Fontenay-sous-Bois	Val-de-Marne	"48.8542005709,2.48919106482"
Nogent-Le Perreux	O	Nogent-sur-Marne	Val-de-Marne	"48.8387348274,2.49408632153"
Coulommiers	O	Coulommiers	Seine-et-Marne	"48.8077192922,3.08196720084"
Villiers-St-Georges	N	Villiers-St-Georges	Seine-et-Marne	"48.6501900955,3.41283490731"
Artonges	N	Artonges	Aisne	"48.9265992789,3.5423440283"
Meuse-TGV	O	Les Trois-Domaines	Meuse	"48.9785063408,5.27371450709"
Champagne-Ardenne-TGV	O	Bezannes	Marne	"49.21368002,3.99569433232"
Nuisement	N	Nuisement-sur-Coole	Marne	"48.8799040673,4.30954683517"
Vitry-le-François	O	Vitry-le-François	Marne	"48.7177830891,4.5875147447"
Coligny (Marne)	N	Val-des-Marais	Marne	"48.8507951705,3.97085940821"
Connantre	N	Connantre	Marne	"48.7315322032,3.92361897462"
Rouilly-Geraudot	N	Rouilly-Sacey	Aube	"48.3277813339,4.28510100033"
Joinville (Haute-Marne)	O	Joinville	Haute-Marne	"48.4443371673,5.14411402649"
Vignory	O	Vignory	Haute-Marne	"48.2705813412,5.12416917897"
Chaumont	O	Chaumont	Haute-Marne	"48.1095595141,5.13398630271"
Coussey	N	Coussey	Vosges	"48.408310544,5.68457607392"
Nançois-Tronville	O	Nançois-sur-Ornain	Meuse	"48.7178686057,5.29137808735"
Menaucourt	N	Menaucourt	Meuse	"48.6443468931,5.35599042655"
Neufchâteau	O	Neufchâteau	Vosges	"48.3582342953,5.69005411994"
Châtenois-Dolaincourt	N	Châtenois	Vosges	"48.3016159828,5.83889815773"
Bainville	O	Bainville-sur-Madon	Meurthe-et-Moselle	"48.58599515,6.09954060377"
Ceintrey	O	Ceintrey	Meurthe-et-Moselle	"48.5246750406,6.15726971556"
Vézelise	O	Vézelise	Meurthe-et-Moselle	"48.4806580536,6.10077558371"
Houdemont	O	Houdemont	Meurthe-et-Moselle	"48.6451812713,6.17975378437"
Einvaux	O	Einvaux	Meurthe-et-Moselle	"48.503403318,6.39311879067"
Vincey	O	Portieux	Vosges	"48.3432921635,6.33574269988"
Igney	O	Igney	Vosges	"48.2709178732,6.39951145722"
Bains-les-Bains	O	Le Clerjus	Vosges	"47.9812299294,6.29523874798"
Épinal	O	Épinal	Ardennes	"48.1779619872,6.44126870858"
Ménil-Flin	O	Flin	Meurthe-et-Moselle	"48.5050029509,6.65923581161"
Azerailles	O	Azerailles	Meurthe-et-Moselle	"48.4913424888,6.69582723526"
Étival-Clairefontaine	O	Étival-Clairefontaine	Vosges	"48.3666534475,6.87693819838"
Stambach	N	Haegen	Bas-Rhin	"48.7200233456,7.3143683802"
