n,beta_0.0,beta_0.2,beta_0.4,beta_0.6,beta_0.8
3270,0.7843607579754899,0.8261198988982996,0.8675303190453576,0.9089021361082071,0.9504301649986399
3271,0.7846006236507117,0.8263156877179304,0.8676826607874593,0.9090110589885229,0.9504949317878894
3272,0.7848404893259335,0.8265114670347606,0.8678349962524385,0.9091199795735203,0.9505596759933322
3273,0.7850803550011554,0.8267072378562157,0.8679873109185282,0.9092288777772342,0.9506244030581071
3274,0.7853202206763772,0.826903005385352,0.8681396242909722,0.909337731902259,0.9506891276685776
3275,0.785560086351599,0.827098761942694,0.8682919212909599,0.9094465783390612,0.9507538448921765
3276,0.7857999520268208,0.827294511953459,0.8684441801583804,0.9095554196362396,0.9508185609910924
3277,0.7860398177020427,0.8274902494937688,0.8685964346710978,0.9096642105952139,0.9508832631593419
3278,0.7862796833772645,0.8276859775113962,0.8687486777109262,0.9097729809153021,0.9509479545984917
3279,0.7865195490524863,0.8278817010085797,0.868900897931885,0.9098817001638917,0.9510126420224395
3280,0.7867594147277082,0.828077414257607,0.8690531122821575,0.9099903978564569,0.9510773160910435
3281,0.78699928040293,0.8282731217982461,0.869205314136034,0.9100990875142958,0.9511419425064884
3282,0.7872391460781518,0.8284688274217066,0.8693575143802018,0.9102077505386731,0.95120656573953
3283,0.7874790117533736,0.8286645321000242,0.8695096865279006,0.9103163891213327,0.9512711813573712
3284,0.7877188774285955,0.8288602345719854,0.8696618337064358,0.9104249895309485,0.9513357855468513
3285,0.7879587431038173,0.8290559125991075,0.8698139770775766,0.9105335854755147,0.9514003773736353
3286,0.7881986087790391,0.8292515902572963,0.8699661133862205,0.9106420992463834,0.9514649355805967
3287,0.788438474454261,0.8294472655830556,0.8701182455483313,0.9107505886908539,0.9515294884909136
3288,0.7886783401294828,0.8296429395160118,0.870270357494466,0.9108590700529929,0.951594033266923
3289,0.7889182058047046,0.8298386109692649,0.8704224637786053,0.9109675483777839,0.951658571542078
3290,0.7891580714799264,0.8300342777388899,0.8705745647869352,0.9110760158676188,0.9517231012210783
3291,0.7893979371551483,0.8302299416249111,0.8707266628225544,0.9111844822465087,0.9517876048381735
3292,0.7896378028303701,0.8304255963946492,0.870878760822218,0.9112929386488817,0.9518521034483967
3293,0.7898776685055919,0.830621248918656,0.8710308269549775,0.9114013783802182,0.9519165987697829
3294,0.7901175341808138,0.8308168972476423,0.871182893073449,0.9115098105574343,0.951981051434205
3295,0.7903573998560356,0.831012542945837,0.8713349575992891,0.9116182265487939,0.952045454390651
3296,0.7905972655312574,0.831208183894124,0.8714869639480884,0.9117266354580412,0.9521097487123483
3297,0.7908371312064792,0.8314038231426831,0.8716389143126638,0.9118350409805563,0.9521739372492357
3298,0.7910769968817011,0.8315994601632818,0.871790863031518,0.9119434346346098,0.9522381094845586
3299,0.7913168625569229,0.8317950968429736,0.8719428058031156,0.9120518197934931,0.9523022817087345
3300,0.7915567282321447,0.8319907249798143,0.8720947476818618,0.912160199964599,0.9523664539329105
3301,0.7917965939073666,0.8321863491832849,0.8722466836100667,0.9122685801357048,0.9524306218751108
3302,0.7920364595825884,0.8323819626320587,0.8723986180949981,0.9123769599396981,0.9524947896118855
3303,0.7922763252578102,0.8325775643606458,0.8725505396297257,0.912485318984839,0.952558882549564
3304,0.792516190933032,0.8327731547071229,0.8727024517627932,0.9125936501403514,0.9526229662668073
3305,0.7927560566082539,0.8329687342737071,0.8728543597713542,0.9127019736616457,0.9526870126806076
3306,0.7929959222834757,0.8331643085871819,0.8730062577763811,0.9128102591942373,0.9527510066185558
3307,0.7932357879586975,0.8333598776055772,0.873158144593378,0.9129185422171505,0.952814952117679
3308,0.7934756536339194,0.8335554452884042,0.8733100238935326,0.9130268022792108,0.9528788711283165
3309,0.7937155193091412,0.8337510111755562,0.8734618859255296,0.9131350451289157,0.952942777771291
3310,0.793955384984363,0.8339465754143724,0.8736137406417617,0.913243279136329,0.9530066122763744
3311,0.7941952506595849,0.8341421391615349,0.8737655873410529,0.9133514570599097,0.953070362654412
3312,0.7944351163348067,0.8343376868919257,0.8739174338645187,0.9134596317309152,0.9531340946620682
3313,0.7946749820100285,0.8345332346223164,0.8740692767820445,0.9135677617059403,0.9531978225884935
3314,0.7949148476852503,0.8347287817208663,0.8742211055411576,0.9136758723698355,0.9532614009232844
3315,0.7951547133604722,0.8349243211357368,0.8743729312276093,0.9137839802363428,0.953324962876774
3316,0.795394579035694,0.8351198511984731,0.8745247534057491,0.9138920771122078,0.9533885207328299
3317,0.7956344447109158,0.8353153736340113,0.8746765608333827,0.9140001595209427,0.9534520699002126
3318,0.7958743103861377,0.8355108898261024,0.8748283682610164,0.9141082134494249,0.9535156022206638
3319,0.7961141760613595,0.8357064036859225,0.8749801354806068,0.914216258052609,0.953579121955163
3320,0.7963540417365813,0.8359018998264582,0.8751318958187225,0.9143242863674683,0.9536424617277393
3321,0.7965939074118031,0.8360973827898498,0.8752836467709706,0.9144323060064145,0.9537057356489101
3322,0.796833773087025,0.8362928546968507,0.8754353910475943,0.9145402880572956,0.9537689563904918
3323,0.7970736387622468,0.8364883261089181,0.8755871311649579,0.91464818160574,0.9538321617219286
3324,0.7973135044374686,0.836683771954005,0.8757388553737797,0.9147560530439979,0.9538953265751684
3325,0.7975533701126905,0.8368792047028089,0.8758905163152513,0.9148638972693067,0.9539584708680224
3326,0.7977932357879123,0.8370746329249991,0.8760421734918198,0.9149717374222861,0.9540215827518107
3327,0.7980331014631341,0.8372700611204767,0.8761938169326438,0.9150795684415198,0.9540846921061242
3328,0.7982729671383559,0.8374654585815261,0.8763454603734677,0.9151873972459174,0.954147784256042
3329,0.7985128328135778,0.8376608316012225,0.87649709649891,0.915295197961413,0.9542108732266332
3330,0.7987526984887996,0.8378561957307389,0.8766487281645093,0.9154029967513121,0.9542739592661736
3331,0.7989925641640214,0.8380515518990896,0.8768003185461873,0.9155107824056509,0.9543370266263269
3332,0.7992324298392433,0.8382468762246362,0.8769518646862021,0.9156185599901238,0.9544000349142117
3333,0.7994722955144651,0.8384421948409407,0.877103407432463,0.9157263245620811,0.954463015664939
3334,0.7997121611896869,0.8386375111790704,0.8772549446424923,0.9158340679181441,0.9545259913462085
3335,0.7999520268649087,0.8388328253827757,0.8774064756406776,0.9159417619772336,0.9545887860178759
3336,0.8001918925401306,0.839028119054786,0.8775579899156429,0.9160494318629337,0.9546515177600209
3337,0.8004317582153524,0.8392234019991148,0.877709498521125,0.916157071657232,0.9547142327889947
3338,0.8006716238905742,0.8394186809346861,0.877861005007559,0.9162646938188747,0.9547769297226287
3339,0.800911489565796,0.8396139572802939,0.8780125102932985,0.9163722943090021,0.9548396132208651
3340,0.8011513552410179,0.8398092316821595,0.8781640116214616,0.916479885499,0.954902283315232
3341,0.8013912209162397,0.8400044893322445,0.8783154803583617,0.916587463559375,0.9549649397232343
3342,0.8016310865914615,0.8401997421876085,0.8784668957175862,0.9166950403766296,0.9550275230227594
3343,0.8018709522666834,0.8403949942657319,0.878618291649021,0.9168026134545955,0.9550901000741108
3344,0.8021108179419052,0.8405902446076142,0.878769656157194,0.9169101800489061,0.9551526654827251
3345,0.802350683617127,0.8407854943264301,0.8789210184374463,0.9170176973440323,0.955215222771572
3346,0.8025905492923489,0.8409807433947677,0.8790723772015728,0.9171251586753075,0.9552777797758145
3347,0.8028304149675707,0.8411759735182117,0.8792237327040718,0.9172325871976721,0.9553403318309253
3348,0.8030702806427925,0.8413711894502918,0.8793750824359357,0.9173399966675886,0.9554028784158318
3349,0.8033101463180143,0.8415663761021728,0.879526416552372,0.9174473969747016,0.9554653960640729
3350,0.8035500119932362,0.8417615602987141,0.8796777506688083,0.917554741498786,0.9555279084559724
3351,0.803789877668458,0.8419567415755227,0.8798290663700549,0.9176620848778791,0.95559035626848
3352,0.8040297433436798,0.8421519005707606,0.8799803793836164,0.9177694235320996,0.9556527929948441
3353,0.8042696090189017,0.8423470578276071,0.8801316897739839,0.9178767487780403,0.9557152297212081
3354,0.8045094746941235,0.8425422020428024,0.8802829578050976,0.9179840558950464,0.9557776523265068
3355,0.8047493403693453,0.8427373442710369,0.880434214334633,0.9180913630120525,0.955840068651564
3356,0.8049892060445671,0.8429324724582986,0.8805854574468344,0.9181986701235912,0.9559024758715228
3357,0.805229071719789,0.8431275973353868,0.8807366986268457,0.9183059683104673,0.9559648000659444
3358,0.8054689373950108,0.8433227153109326,0.8808879177503514,0.9184132404272757,0.9560271189727797
3359,0.8057088030702326,0.8435178313587971,0.8810391365470268,0.918520498052406,0.9560893862933878
